CO_TAZID,SchoolName,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High,Enrol_Elem,Enrol_Midl,Enrol_High
1007,Beaver Preschool,0,0,0,0,0,0,0,0,0
1009,Belknap School,451,0,0,0,0,0,451,0,0
1011,Beaver High,0,225,221,0,0,0,0,225,221
1062,Milford High,0,95,111,0,0,0,0,95,111
1064,Milford School,211,0,0,0,0,0,211,0,0
1103,Minersville SchoolMinersville School,328,0,0,0,0,0,328,0,0
3047,Fielding School,539,0,0,0,0,0,539,0,0
3083,Garland School,658,0,0,0,0,0,658,0,0
3111,Bear River HighNorth Park School,645,0,1197,0,0,0,645,0,1197
3112,Bear River Middle,0,848,0,0,0,0,0,848,0
3117,Alice C. Harris Intermediate,0,0,0,0,0,0,0,0,0
3125,McKinley School,0,0,0,0,0,0,0,0,0
3198,Centro de la Familia de Utah Box Elder,0,0,0,0,0,0,0,0,0
3211,Century School,440,0,0,0,0,0,440,0,0
3233,Corinne Early Learning Center,0,0,0,0,0,0,0,0,0
3262,Snowville School,28,0,0,0,0,0,28,0,0
3294,Park Valley ElementaryPark Valley Secondary,36,20,0,0,0,0,36,20,0
3295,Grouse Creek ElementaryGrouse Creek Secondary,12,0,0,0,0,0,12,0,0
7001,Sally Mauro School,261,0,0,0,0,0,261,0,0
7006,Helper Middle,0,199,0,0,0,0,0,199,0
7024,Carbon HighCastle Valley Center,31,3,1021,0,0,0,31,3,1021
7026,Castle Heights School,374,0,0,0,0,0,374,0,0
7028,Mont Harmon Middle,0,616,0,0,0,0,0,616,0
7034,Pinnacle Canyon Academy,0,0,0,156,91,102,156,91,102
7039,Creekview School,363,0,0,0,0,0,363,0,0
7059,Rural Utah Child Development,0,0,0,0,0,0,0,0,0
7090,Wellington School,233,0,0,0,0,0,233,0,0
7158,Bruin Point School,85,0,0,0,0,0,85,0,0
9003,Flaming Gorge School,14,0,0,0,0,0,14,0,0
9012,Manila HighManila SchoolDaggett Preschool,59,43,45,0,0,0,59,43,45
13002,East School,326,0,0,0,0,0,326,0,0
13004,Kings Peak School,479,0,0,0,0,0,479,0,0
13006,Roosevelt Jr High,0,793,0,0,0,0,0,793,0
13008,Union High,0,0,1173,0,0,0,0,0,1173
13013,Centennial School,438,0,0,0,0,0,438,0,0
13022,Neola School,137,0,0,0,0,0,137,0,0
13024,Cedar Ridge Academy,0,0,0,0,0,0,0,0,0
13039,Altamont SchoolAltamont High,317,142,131,0,0,0,317,142,131
13067,Duchesne SchoolDuchesne High,386,199,212,0,0,0,386,199,212
13092,Myton SchoolCon Amore School,137,4,7,0,0,0,137,4,7
13109,Tabiona HighTabiona School,109,37,38,0,0,0,109,37,38
15045,Cleveland School,148,0,0,0,0,0,148,0,0
15076,Canyon View Middle School,0,215,0,0,0,0,0,215,0
15082,Huntington School,198,0,0,0,0,0,198,0,0
15117,Emery High,0,0,617,0,0,0,0,0,617
15118,Castle Dale School,127,0,0,0,0,0,127,0,0
15141,Cottonwood School,93,0,0,0,0,0,93,0,0
15176,Ferron School,175,0,0,0,0,0,175,0,0
15180,San Rafael Middle School,0,221,0,0,0,0,0,221,0
15244,Green River High,0,44,41,0,0,0,0,44,41
15247,Book Cliff School,107,0,0,0,0,0,107,0,0
17008,Panguitch School,215,0,0,0,0,0,215,0,0
17011,Garfield Online,0,0,0,0,0,0,0,0,0
17012,Panguitch High,0,0,148,0,0,0,0,0,148
17014,Panguitch Middle,0,56,0,0,0,0,0,56,0
17051,Silverado Academy,0,0,0,0,0,0,0,0,0
17066,Bryce Valley SchoolBryce Valley HighEagle Valley Youth Ranch,131,65,77,0,0,0,131,65,77
17094,Antimony School,1,0,0,0,0,0,1,0,0
17113,Escalante School,88,0,0,0,0,0,88,0,0
17114,Escalante High,0,36,30,0,0,0,0,36,30
17126,Turn-About Ranch,0,0,0,0,0,0,0,0,0
17140,Boulder School,7,0,0,0,0,0,7,0,0
19009,Helen M. Knight School,682,0,0,0,0,0,682,0,0
19015,C R Sundwall Preschool,0,0,0,0,0,0,0,0,0
19023,Grand County MiddleGrand County HighMoab Charter School,0,220,469,71,0,0,71,220,469
21009,Escalante Valley School,111,0,0,0,0,0,111,0,0
21040,Discovery Ranch South,0,0,0,0,0,0,0,0,0
21059,Three Peaks SchoolThree Peaks Pre School,646,0,0,0,0,0,646,0,0
21064,Enoch School,516,0,0,0,0,0,516,0,0
21073,Gateway Preparatory Academy,0,0,0,604,133,0,604,133,0
21114,Canyon View MiddleCanyon View High,0,951,1023,0,0,0,0,951,1023
21116,Fiddlers Canyon School,516,0,0,0,0,0,516,0,0
21122,Havenwood AcademyUTBS Academy - Cedar City,0,0,0,0,0,0,0,0,0
21137,Integrity House,0,0,0,0,0,0,0,0,0
21149,Southern Utah University Head Start,0,0,0,0,0,0,0,0,0
21153,American Principles Academy,0,0,0,167,42,0,167,42,0
21156,Cedar North School,578,0,0,0,0,0,578,0,0
21166,Iron Springs School,636,0,0,0,0,0,636,0,0
21168,Discovery Clubhouse - Cedar,0,0,0,0,0,0,0,0,0
21173,Turning Point School,0,0,0,0,0,0,0,0,0
21180,Success AcademySouthern Utah University Head Start,0,0,0,0,0,0,0,0,0
21182,Cedar East School,598,0,0,0,0,0,598,0,0
21199,Cedar South SchoolIron County Preschool,547,0,0,0,0,0,547,0,0
21203,Cedar City HighSouthwest Educational Academy,2346,1053,2256,0,0,0,2346,1053,2256
21215,Cedar MiddleLaunch High,0,1142,196,0,0,0,0,1142,196
21224,Mountain Springs Preparatory AcademyThe Academy at Cedar Mountain,0,0,0,0,0,0,0,0,0
21245,Moonridge Academy,0,0,0,0,0,0,0,0,0
21309,Parowan SchoolParowan High,418,182,168,0,0,0,418,182,168
23012,Mona School,280,0,0,0,0,0,280,0,0
23044,Arizona State University Prep Digital Powered by Juab,0,0,0,0,0,0,0,0,0
23045,Juab Jr HighJuab High,0,629,896,0,0,0,0,629,896
23051,Nebo View School,354,0,0,0,0,0,354,0,0
23058,Red Cliff School,546,0,0,0,0,0,546,0,0
23112,Eureka SchoolTintic HighTintic Preschool,93,70,72,0,0,0,93,70,72
23127,West Desert High School,0,9,0,0,0,0,0,9,0
25024,Valley High,0,78,77,0,0,0,0,78,77
25026,Valley School,162,0,0,0,0,0,162,0,0
25046,Kanab SchoolKanab CTE Center,523,0,0,0,0,0,523,0,0
25056,Kanab MiddleKane Preschool,0,159,0,0,0,0,0,159,0
25057,Kanab High,0,0,319,0,0,0,0,0,319
25096,Big Water HighBig Water School,80,18,48,0,0,0,80,18,48
25106,Lake Powell High School,0,4,1,0,0,0,0,4,1
27118,Delta High,0,0,594,0,0,0,0,0,594
27120,Delta Middle,0,614,0,0,0,0,0,614,0
27131,White River Academy,0,0,0,0,0,0,0,0,0
27133,Delta North School,427,0,0,0,0,0,427,0,0
27144,Delta South School,246,0,0,0,0,0,246,0,0
27316,Millard High,0,0,385,0,0,0,0,0,385
27319,Fillmore SchoolFillmore Middle,430,347,0,0,0,0,430,347,0
27409,Eskdale High,0,5,2,0,0,0,0,5,2
27410,Garrison School,14,0,0,0,0,0,14,0,0
29014,Morgan MiddleMorgan Online,0,493,0,0,0,0,0,493,0
29016,Morgan High,0,0,1140,0,0,0,0,0,1140
29017,Morgan SchoolMorgan Preschool,556,0,0,0,0,0,556,0,0
29041,Mountain Green SchoolMountain Green Preschool,424,0,0,0,0,0,424,0,0
29044,Mountain Green Middle,0,497,0,0,0,0,0,497,0
30025,Discovery School,448,0,0,0,0,0,448,0,0
30030,New Horizons Academy,0,0,0,0,0,0,0,0,0
30043,Golden Spike Elementary,774,0,0,0,0,0,774,0,0
30051,Triumph Academy,0,0,0,0,0,0,0,0,0
30053,Sunrise High School,0,0,161,0,0,0,0,0,161
30055,Box Elder Middle,0,1127,0,0,0,0,0,1127,0
30063,Box Elder High,0,0,1639,0,0,0,0,0,1639
30075,Catalyst Preparatory Academy,0,0,0,0,0,0,0,0,0
30077,Adele C. Young Intermediate,0,0,0,0,0,0,0,0,0
30079,Lake View School,573,0,0,0,0,0,573,0,0
30085,UTBS Academy - Brigham City,0,0,0,0,0,0,0,0,0
30095,Three Mile Creek School,530,0,0,0,0,0,530,0,0
30104,Promontory School of Expeditionary Learning,0,0,0,367,78,0,367,78,0
30125,Willard School,215,0,0,0,0,0,215,0,0
31001,Oscarson SchoolOscarson Preschool,24,0,0,0,0,0,24,0,0
31018,Piute HighUtah Peak Academy,144,86,72,0,0,0,144,86,72
31045,Circleville SchoolCircleville Preschool,105,0,0,0,0,0,105,0,0
31069,High Top Ranch School,0,0,0,0,0,0,0,0,0
33016,Rich Middle SchoolNorth Rich School,120,112,0,0,0,0,120,112,0
33035,South Rich SchoolRich HighRich Preschool,105,0,162,0,0,0,105,0,162
37016,La Sal School,6,0,0,0,0,0,6,0,0
37033,Monticello School,262,0,0,0,0,0,262,0,0
37034,Monticello High,0,116,94,0,0,0,0,116,94
37087,San Juan High,0,0,425,0,0,0,0,0,425
37088,Albert R. Lyman Middle,0,330,0,0,0,0,0,330,0
37098,Blanding School,471,0,0,0,0,0,471,0,0
37169,Bluff School,74,0,0,0,0,0,74,0,0
37182,Whitehorse High,0,158,145,0,0,0,0,158,145
37184,Montezuma Creek SchoolAneth Community School,253,0,0,0,0,0,253,0,0
37201,Monument Valley HighTse'Bii'Nidzisgai SchoolMonument Valley SDA Mission School,224,88,100,0,0,0,224,88,100
37202,Navajo Mountain HighNaa Tsis' Aan Community Sch,0,0,22,0,0,0,0,0,22
39003,Fountain Green School,142,0,0,0,0,0,142,0,0
39017,Moroni School,314,0,0,0,0,0,314,0,0
39029,North Sanpete Middle,0,355,0,0,0,0,0,355,0
39052,Spring City School,142,0,0,0,0,0,142,0,0
39059,Cold White Fire Institute,0,0,0,0,0,0,0,0,0
39067,Wasatch Academy,0,0,0,0,0,0,0,0,0
39068,Mt. Pleasant School,436,0,0,0,0,0,436,0,0
39069,North Sanpete HighPleasant Creek School,0,0,780,0,0,0,0,0,780
39083,Oxbow Academy,0,0,0,0,0,0,0,0,0
39086,Fairview School,235,0,0,0,0,0,235,0,0
39124,Ephraim SchoolEphraim Middle,502,497,0,0,0,0,502,497,0
39147,Manti High,0,0,694,0,0,0,0,0,694
39149,Manti School,360,0,0,0,0,0,360,0,0
39150,South Sanpete Education Support Center,0,0,0,0,0,0,0,0,0
39196,Gunnison Valley SchoolGunnison Valley HighGunnison Valley Middle,538,262,318,0,0,0,538,262,318
41020,Salina SchoolNorth Sevier Middle,435,196,0,0,0,0,435,196,0
41021,North Sevier High,0,0,269,0,0,0,0,0,269
41025,Puddle Jumpers Learning Center - Salina,0,0,0,0,0,0,0,0,0
41137,Pahvant School,520,0,0,0,0,0,520,0,0
41142,Ashman School,466,0,0,0,0,0,466,0,0
41144,UTBS Academy - Richfield,0,0,0,0,0,0,0,0,0
41149,Red Hills Middle,0,503,0,0,0,0,0,503,0
41150,Richfield HighCedar Ridge HighSevier Career and Technical Education Center,0,0,797,0,0,0,0,0,797
41152,Richfield Preschool,0,0,0,0,0,0,0,0,0
41238,Storm Ridge Ranch,0,0,0,0,0,0,0,0,0
41266,South Sevier HighMonroe School,537,0,394,0,0,0,537,0,394
41267,South Sevier Middle,0,288,0,0,0,0,0,288,0
41293,Sorenson's Ranch School,0,0,0,0,0,0,0,0,0
41294,Koosharem School,27,0,0,0,0,0,27,0,0
43006,Jeremy Ranch SchoolJeremy Ranch Preschool,392,0,0,0,0,0,392,0,0
43041,Parley's Park SchoolParley's Park Preschool,400,0,0,0,0,0,400,0,0
43050,Winter Sports School,0,0,0,0,0,98,0,0,98
43077,Treasure Mtn. Junior High SchoolMcPolin SchoolMPES PreschoolMcPolin Preschool,383,741,0,0,0,0,383,741,0
43079,Park City High,0,0,1175,0,0,0,0,0,1175
43084,PC Tots,0,0,0,0,0,0,0,0,0
43113,Trailside SchoolTrailside Preschool,360,0,0,0,0,0,360,0,0
43115,Silver Summit AcademySilver Summit School,55,57,47,0,0,0,55,57,47
43122,USSA Team Academy,0,0,0,0,0,0,0,0,0
43150,South Summit SchoolSouth Summit MiddleSouth Summit HighSouth Summit Preschool,450,476,488,0,0,0,450,476,488
43180,North Summit MiddleNorth Summit HighNorth Summit Preschool,0,323,370,0,0,0,0,323,370
43184,North Summit School,348,0,0,0,0,0,348,0,0
43264,Weilenmann School of Discovery,0,0,0,351,71,0,351,71,0
43268,Park City Day School,0,0,0,0,0,0,0,0,0
43273,Ecker Hill Middle,0,666,0,0,0,0,0,666,0
45023,Grantsville School,639,0,0,0,0,0,639,0,0
45024,Grantsville High,0,0,1104,0,0,0,0,0,1104
45031,Grantsville Jr High,0,552,0,0,0,0,0,552,0
45033,Willow School,426,0,0,0,0,0,426,0,0
45043,Twenty Wells Elementary,566,0,0,0,0,0,566,0,0
45122,Old Mill School,665,0,0,0,0,0,665,0,0
45132,Bonneville Academy,0,0,0,269,68,0,269,68,0
45134,Stansbury Park School,647,0,0,0,0,0,647,0,0
45140,Rose Springs SchoolStansbury High,515,0,2331,0,0,0,515,0,2331
45160,Alpine Academy,0,0,0,0,0,0,0,0,0
45165,Excelsior Academy,0,0,0,1032,374,0,1032,374,0
45181,Overlake SchoolClarke N. Johnsen Jr High,693,847,0,0,0,0,693,847,0
45185,Copper Canyon School,480,0,0,0,0,0,480,0,0
45190,Middle Canyon School,572,0,0,0,0,0,572,0,0
45198,Scholar Academy,0,0,0,543,149,0,543,149,0
45207,Northlake School,609,0,0,0,0,0,609,0,0
45211,Sterling School,718,0,0,0,0,0,718,0,0
45218,Blue Peak HighTooele Community Learning CenterDigital Education Center,28,61,276,0,0,0,28,61,276
45222,West School,230,0,0,0,0,0,230,0,0
45223,Tooele Jr HighTooele High,0,771,1910,0,0,0,0,771,1910
45231,St. Marguerite Catholic School,0,0,0,0,0,0,0,0,0
45240,Settlement Canyon School,522,0,0,0,0,0,522,0,0
45287,Vernon School,20,0,0,0,0,0,20,0,0
45305,Dugway,63,28,21,0,0,0,63,28,21
45311,Ibapah School,18,0,0,0,0,0,18,0,0
45313,Anna Smith School,176,0,0,0,0,0,176,0,0
45314,Wendover High,0,83,88,0,0,0,0,83,88
47001,Whiterocks Head Start Center,0,0,0,0,0,0,0,0,0
47003,Basin Online School,0,0,0,0,0,0,0,0,0
47014,Lapoint School,147,0,0,0,0,0,147,0,0
47019,Eagle View School,217,61,0,0,0,0,217,61,0
47022,Uintah River High,0,0,0,0,0,82,0,0,82
47037,Uintah Middle SchoolAshley School,442,579,0,0,0,0,442,579,0
47044,Terra Academy,0,0,0,360,136,101,360,136,101
47046,Vernal MiddleUintah Online School,0,844,0,0,0,0,0,844,0
47048,Uintah Specialized Preschool,0,0,0,0,0,0,0,0,0
47053,Uintah Basin Christian Academy,0,0,0,0,0,0,0,0,0
47058,Discovery School,656,0,0,0,0,0,656,0,0
47066,Maeser School,473,0,0,0,0,0,473,0,0
47073,Uintah HighAshley Valley Education Ctr.,0,0,1845,0,0,0,0,0,1845
47095,Naples School,456,0,0,0,0,0,456,0,0
47114,Davis School,442,0,0,0,0,0,442,0,0
50032,Lewiston School,486,0,0,0,0,0,486,0,0
50096,American International Online Academy,0,0,0,0,0,0,0,0,0
50112,White Pine School,404,0,0,0,0,0,404,0,0
50118,North Cache Middle School,0,1198,0,0,0,0,0,1198,0
50131,Birch Creek School,734,0,0,0,0,0,734,0,0
50145,Summit School,677,0,0,0,0,0,677,0,0
50154,Sunrise School,713,0,0,0,0,0,713,0,0
50167,Sky View High,0,0,1597,0,0,0,0,0,1597
50195,Cedar Ridge School,719,0,0,0,0,0,719,0,0
50225,Green Canyon High SchoolThomas Edison,0,0,1677,0,0,0,0,0,1677
50229,North Park School,460,0,0,0,0,0,460,0,0
50235,Cache Preschool,0,0,0,0,0,0,0,0,0
50238,Greenville School,474,0,0,0,0,0,474,0,0
50257,Intech Collegiate Academy,0,0,0,0,99,98,0,99,98
50284,Fast Forward High,0,0,0,0,0,442,0,0,442
50300,Cache Alternative High,0,0,0,0,0,0,0,0,0
50301,Bridger School,463,0,0,0,0,0,463,0,0
50334,Mount Logan Middle,0,1117,0,0,0,0,0,1117,0
50339,Adams School,302,0,0,0,0,0,302,0,0
50347,Edith Bowen Laboratory School,0,0,0,359,0,0,359,0,0
50350,Hillcrest School,521,0,0,0,0,0,521,0,0
50363,Ellis School,320,0,0,0,0,0,320,0,0
50392,LCSD Center for Home Learning,0,0,0,0,0,0,0,0,0
50402,Riverside Preschool,0,0,0,0,0,0,0,0,0
50403,Bear River Charter SchoolCache Valley Learning Center,0,0,0,162,0,0,162,0,0
50406,Logan High,0,0,1466,0,0,0,0,0,1466
50411,Wilson School,340,0,0,0,0,0,340,0,0
50422,Logan Early Childhood Center,0,0,0,0,0,0,0,0,0
50429,Wee Friends Preschool,0,0,0,0,0,0,0,0,0
50435,Woodruff School,527,0,0,0,0,0,527,0,0
50451,Logan River Academy,0,0,0,0,0,0,0,0,0
50469,River Heights School,585,0,0,0,0,0,585,0,0
50472,Centro de la Familia de Utah Providence,0,0,0,0,0,0,0,0,0
50476,The Center for Creativity Innovation and Discovery,0,0,0,241,91,0,241,91,0
50485,Spring Creek Middle School,0,869,0,0,0,0,0,869,0
50488,Providence School,719,0,0,0,0,0,719,0,0
50510,Ridgeline High School,0,0,1894,0,0,0,0,0,1894
50517,Millville School,463,0,0,0,0,0,463,0,0
50543,Mountainside School,488,0,0,0,0,0,488,0,0
50548,Thomas Edison - South,0,0,0,548,151,0,548,151,0
50550,Nibley School,448,0,0,0,0,0,448,0,0
50556,Heritage School,701,0,0,0,0,0,701,0,0
50597,South Cache Middle School,0,1146,0,0,0,0,0,1146,0
50599,Lincoln School,466,0,0,0,0,0,466,0,0
50602,Canyon SchoolMountain Crest High,790,0,1549,0,0,0,790,0,1549
50882,Stokes Nature Preschool,0,0,0,0,0,0,0,0,0
50891,Wellsville School,464,0,0,0,0,0,464,0,0
50892,Uinta Academy RTC LLC,0,0,0,0,0,0,0,0,0
51057,Cascade Academy,0,0,0,0,0,0,0,0,0
51068,Midway School,596,0,0,0,0,0,596,0,0
51118,Heber Valley SchoolRocky Mountain Middle,496,674,0,0,0,0,496,674,0
51136,Soldier Hollow Charter School,0,0,0,278,52,0,278,52,0
51147,New Focus Academy,0,0,0,0,0,0,0,0,0
51153,J.R. Smith School,574,0,0,0,0,0,574,0,0
51157,Wasatch Learning Academy,0,0,0,0,0,0,0,0,0
51179,Timpanogos Middle School,0,1033,0,0,0,0,0,1033,0
51181,Wasatch High,0,0,2619,0,0,0,0,0,2619
51186,Old Mill School,706,0,0,0,0,0,706,0,0
51229,Daniels Canyon School,537,0,0,0,0,0,537,0,0
55004,Loa School,212,0,0,0,0,0,212,0,0
55046,Wayne High,0,105,86,0,0,0,0,105,86
55086,Hanksville School,17,0,0,0,0,0,17,0,0
57014,Valley School,547,0,0,0,0,0,547,0,0
57031,Waypoint Academy,0,0,0,0,0,0,0,0,0
57063,Snowcrest Jr High,0,266,0,0,0,0,0,266,0
57064,Ogden Valley Montessori School,0,0,0,0,0,0,0,0,0
110012,West Point School,603,0,0,0,0,0,603,0,0
110013,Monticello Academy West Point,0,0,0,442,0,0,442,0,0
110014,Lakeside SchoolWest Point Jr High,863,1556,0,0,0,0,863,1556,0
110017,Island View Elementary,819,0,0,0,0,0,819,0,0
110028,West Clinton School,594,0,0,0,0,0,594,0,0
110029,Voyage Academy,0,0,0,529,0,0,529,0,0
110030,Parkside School,407,0,0,0,0,0,407,0,0
110035,Clinton School,465,0,0,0,0,0,465,0,0
110043,Sunset School,354,0,0,0,0,0,354,0,0
110044,Sunset Jr High,0,927,0,0,0,0,0,927,0
110046,Doxey School,341,0,0,0,0,0,341,0,0
110055,South Weber School,741,0,0,0,0,0,741,0,0
110057,Highmark Charter School,0,0,0,370,298,0,370,298,0
110060,Weber Basin High (Private),0,0,0,0,0,0,0,0,0
110062,Holt School,427,0,0,0,0,0,427,0,0
110065,Wasatch School,430,0,0,0,0,0,430,0,0
110074,Hill Field School,447,0,0,0,0,0,447,0,0
110078,South Clearfield SchoolNorth Davis Jr High,690,941,0,0,0,0,690,941,0
110079,Clearfield HighAutism Solutions Academy Clearfield,0,0,2040,0,0,0,0,0,2040
110080,Davis Connect 7-12Leadership Academy of Utah,0,95,167,0,0,0,0,95,167
110082,Clearfield Job CorpsGreat Basin HighLet Them Be Kids Childcare CenterLet Them Be Kids Preschool,0,0,0,0,0,0,0,0,0
110084,Antelope School,602,0,0,0,0,0,602,0,0
110088,Syracuse Arts Academy - NorthSyracuse High,0,0,2607,730,0,0,730,0,2607
110090,Oasis Monessori Schools,0,0,0,0,0,0,0,0,0
110093,Syracuse Jr High,0,1218,0,0,0,0,0,1218,0
110094,Syracuse SchoolCook School,1500,0,0,0,0,0,1500,0,0
110096,Buffalo Point School,600,0,0,0,0,0,600,0,0
110097,Elevations AcademySyracuse Arts Academy,0,0,0,0,0,0,0,0,0
110100,Bluff Ridge School,914,0,0,0,0,0,914,0,0
110109,Mountain View School,695,0,0,0,0,0,695,0,0
110112,No. UT. Acad. for Math Engineering & ScienceDorius Academy,0,0,0,0,0,672,0,0,672
110113,Leadership Learning Academy,0,0,0,522,0,0,522,0,0
110116,Layton Christian AcademyLayton Christian Academy,0,0,0,0,0,0,0,0,0
110117,Adams School,644,0,0,0,0,0,644,0,0
110119,North Layton Jr High,0,960,0,0,0,0,0,960,0
110120,Northridge High,0,0,1991,0,0,0,0,0,1991
110121,Vae View School,325,0,0,0,0,0,325,0,0
110124,Autism Solutions Academy - LaytonWasatch Intermountain AcademyWasatch Intermountain Academy,0,0,0,0,0,0,0,0,0
110128,Fernwood Academy,0,0,0,0,0,0,0,0,0
110131,King School,442,0,0,0,0,0,442,0,0
110133,East Layton School,507,0,0,0,0,0,507,0,0
110137,Ellison Park School,565,0,0,0,0,0,565,0,0
110140,Crestview SchoolCentral Davis Jr High,291,879,0,0,0,0,291,879,0
110141,Layton High,0,0,2229,0,0,0,0,0,2229
110142,Whitesides School,361,0,0,0,0,0,361,0,0
110144,Legacy Jr High,0,1125,0,0,0,0,0,1125,0
110145,Sand Springs School,682,0,0,0,0,0,682,0,0
110147,North Davis Preparatory Academy,0,0,0,705,262,0,705,262,0
110151,Sunburst School,869,0,0,0,0,0,869,0,0
110156,Layton School,520,0,0,0,0,0,520,0,0
110158,Kid's First,0,0,0,0,0,0,0,0,0
110162,Heritage SchoolShoreline Junior High,622,1226,0,0,0,0,622,1226,0
110163,Morgan School,587,0,0,0,0,0,587,0,0
110166,Creekside SchoolFairfield Jr High,542,972,0,0,0,0,542,972,0
110170,Time For Families - Davis CountyCatalyst Center,0,0,0,0,0,0,0,0,0
110173,Kay's Creek School,0,0,0,0,0,0,0,0,0
110177,Kaysville SchoolH C Burton School,1082,0,0,0,0,0,1082,0,0
110179,Columbia SchoolKaysville Jr High,555,858,0,0,0,0,555,858,0
110180,Mountain HighDavis HighRenaissance AcademyUtah Career Path High SchoolFamily Enrichment Center,0,10,2505,0,0,148,0,10,2653
110181,Snow Horse SchoolCentennial Jr HighJefferson Academy,488,957,0,505,0,0,993,957,0
110183,Windridge School,484,0,0,0,0,0,484,0,0
110184,Endeavour School,644,0,0,0,0,0,644,0,0
110196,Knowlton School,614,0,0,0,0,0,614,0,0
110203,Eagle Bay School,454,0,0,0,0,0,454,0,0
110204,Canyon Creek School,721,0,0,0,0,0,721,0,0
110205,Farmington HighAscent Academies of Utah Farmington,0,0,2191,299,86,0,299,86,2191
110206,Farmington SchoolFarmington Jr HighDavis Connect K-6,549,1266,0,0,0,0,549,1266,0
